APELLIDO APELLIDO, NOMBRE
5/18/2016 6:29:02 PM
Configurar #5

  TIEMPO    FUERZA ROTACIONAL   POSICIÓN    POS (ANAT)    VELOCIDAD
  mSeg       N-M    Grados      Grados        º/SEG.
     0       0.0      193.3          115          0.0
    10       0.3      193.3          115          0.2
    20       3.0      193.3          115          0.7
    30      14.2      193.3          115          1.3
    40      29.6      193.3          115          3.4
    50      43.1      193.2          115         11.9
    60      60.6      192.9          114         29.5
    70      74.7      192.4          114         56.1
    80      72.4      191.5          113         89.7
    90      67.8      190.2          112        149.0
   100      72.7      188.6          110        184.4
   110      74.7      186.6          108        224.4
   120      82.9      184.5          106        232.1
   130      89.5      182.4          104        211.1
   140      96.8      180.2          102        211.9
   150     106.9      178.1          100        212.7
   160     115.0      176.0           98        212.9
   170     119.6      173.9           95        212.7
   180     119.5      171.7           93        212.4
   190     117.0      169.6           91        211.6
   200     113.4      167.5           89        211.3
   210     109.8      165.4           87        210.8
   220     108.5      163.3           85        210.8
   230     111.3      161.2           83        210.8
   240     114.9      159.1           81        210.8
   250     118.1      156.9           78        211.1
   260     119.9      154.8           76        211.1
   270     120.0      152.7           74        211.1
   280     119.3      150.6           72        210.8
   290     117.4      148.5           70        210.8
   300     113.6      146.4           68        210.5
   310     109.4      144.3           66        210.0
   320     104.8      142.2           64        209.7
   330     100.1      140.1           62        210.0
   340      95.3      138.0           60        209.5
   350      90.4      135.9           57        209.2
   360      83.9      133.8           55        209.2
   370      78.1      131.7           53        208.9
   380      69.6      129.6           51        208.9
   390      61.4      127.6           49        208.4
   400      52.9      125.5           47        207.9
   410      44.3      123.4           45        207.6
   420      34.0      121.3           43        207.3
   430      31.2      119.4           41        193.5
   440      35.0      117.8           39        130.9
   450      32.5      116.7           38        108.6
   460      29.4      115.8           37         72.6
   470      24.5      115.1           37         59.9
   480      18.2      114.7           36         43.9
   490     -17.6      114.3           36         29.2
   500     -39.9      114.1           36         22.6
   510     -69.8      113.9           35          8.2
   520     -64.3      114.0           36        -15.4
   530     -78.4      114.5           36        -59.6
   540     -56.4      115.5           37       -103.8
   550     -28.3      117.0           39       -142.1
   560      -8.9      118.8           40       -165.5
   570      -3.8      120.7           42       -177.3
   580     -27.8      122.8           44       -206.5
   590     -60.3      124.9           46       -210.8
   600     -91.4      127.1           49       -213.2
   610    -107.8      129.2           51       -213.7
   620     -96.7      131.3           53       -212.9
   630     -71.5      133.5           55       -210.3
   640     -55.7      135.5           57       -209.2
   650     -49.9      137.6           59       -209.2
   660     -57.5      139.7           61       -209.5
   670     -70.2      141.8           63       -210.5
   680     -80.1      143.9           65       -211.1
   690     -78.6      146.1           68       -211.3
   700     -70.8      148.2           70       -210.8
   710     -61.3      150.3           72       -209.7
   720     -56.0      152.4           74       -209.7
   730     -54.4      154.5           76       -209.5
   740     -55.6      156.6           78       -209.7
   750     -57.1      158.7           80       -209.7
   760     -55.6      160.8           82       -210.0
   770     -51.9      162.9           84       -209.5
   780     -47.3      164.9           86       -208.9
   790     -41.1      167.0           89       -208.7
   800     -35.9      169.1           91       -208.4
   810     -31.1      171.2           93       -208.4
   820     -25.5      173.3           95       -208.4
   830     -20.3      175.4           97       -208.4
   840     -14.1      177.5           99       -208.1
   850      -8.1      179.5          101       -208.1
   860      -2.0      181.6          103       -207.9
   870       0.0      183.7          105       -208.1
   880       0.0      185.8          107       -205.2
   890       0.0      187.7          109       -195.6
   900       4.3      189.0          111       -132.0
   910      28.3      190.1          112        -85.7
   920      55.2      190.8          112        -71.6
   930      77.4      191.2          113        -25.8
   940      98.0      191.1          113         17.0
   950      94.8      190.6          112         58.3
   960      90.0      189.5          111        125.3
   970      86.8      188.0          110        176.7
   980      79.3      186.1          108        224.9
   990      87.3      183.9          105        211.3
  1000     100.2      181.8          103        211.6
  1010     113.0      179.7          101        212.7
  1020     126.4      177.6           99        213.5
  1030     133.7      175.4           97        213.5
  1040     131.9      173.3           95        212.4
  1050     122.0      171.2           93        211.6
  1060     113.1      169.1           91        210.8
  1070     108.9      167.0           89        210.5
  1080     106.0      164.9           86        210.0
  1090     108.1      162.8           84        210.0
  1100     113.0      160.6           82        210.5
