APELLIDO APELLIDO, NOMBRE
5/10/2016 7:51:58 PM
Configurar #4

  TIEMPO    FUERZA ROTACIONAL   POSICIÓN    POS (ANAT)    VELOCIDAD
  mSeg       N-M    Grados      Grados        º/SEG.
     0       0.0      195.1          111          0.0
    10       1.8      195.1          111          0.2
    20      18.8      195.1          111          1.5
    30      28.5      195.1          111          4.2
    40      43.8      195.0          111         13.8
    50      45.8      194.8          110         29.8
    60      47.6      194.3          110         49.5
    70      48.3      193.8          109         70.2
    80      50.4      193.0          109         92.6
    90      49.8      192.0          108        113.9
   100      48.7      190.7          106        137.6
   110      50.3      189.3          105        161.3
   120      51.9      187.7          103        184.4
   130      55.1      185.8          101        191.4
   140      60.9      183.8           99        208.7
   150      72.8      181.7           97        210.3
   160      86.6      179.6           95        211.3
   170      98.3      177.5           93        212.4
   180     107.4      175.3           91        212.7
   190     109.2      173.2           89        212.7
   200     107.4      171.1           87        212.1
   210     101.6      169.0           85        211.6
   220      96.3      166.8           82        211.1
   230      92.6      164.7           80        210.5
   240      93.3      162.6           78        210.5
   250      94.4      160.5           76        210.5
   260      95.5      158.4           74        210.5
   270      94.9      156.3           72        210.8
   280      96.0      154.2           70        210.3
   290      97.6      152.1           68        210.3
   300     100.3      150.0           66        210.5
   310     101.8      147.9           63        210.8
   320     100.8      145.8           61        210.5
   330      98.4      143.7           59        210.3
   340      94.8      141.6           57        210.0
   350      92.3      139.5           55        210.0
   360      92.1      137.4           53        209.7
   370      92.1      135.3           51        210.3
   380      91.4      133.2           49        209.7
   390      90.0      131.1           47        210.3
   400      87.5      129.0           45        210.0
   410      83.3      127.0           43        188.2
   420      95.3      125.0           41        191.6
   430     112.8      123.7           39        133.1
   440     123.4      122.6           38        108.6
   450     114.2      121.8           37         74.0
   460      91.0      121.2           37         52.7
   470      65.8      120.8           36         36.7
   480      46.2      120.6           36         27.6
   490      35.9      120.4           36         17.5
   500      26.7      120.2           36         12.5
   510      24.5      120.1           36          8.2
   520      23.5      120.1           36          5.8
   530     -24.4      120.0           36          5.0
   540     -24.8      120.0           36          3.4
   550      -6.8      120.0           36          0.0
   560       0.0      120.0           36         -2.9
   570     -22.1      120.1           36        -12.2
   580     -32.0      120.4           36        -33.2
   590     -29.2      121.0           37        -65.2
   600     -14.9      121.8           37        -93.7
   610       0.0      123.0           39       -125.6
   620      -3.8      124.2           40       -138.9
   630     -18.7      125.5           41       -139.5
   640     -33.2      127.1           43       -144.2
   650     -38.8      129.0           45       -190.3
   660     -37.7      131.0           47       -209.7
   670     -41.4      133.1           49       -210.5
   680     -48.5      135.2           51       -210.8
   690     -56.8      137.4           53       -211.3
   700     -60.5      139.5           55       -211.3
   710     -59.1      141.6           57       -211.3
   720     -54.5      143.7           59       -210.5
   730     -51.3      145.8           61       -210.5
   740     -51.3      147.9           63       -210.3
   750     -53.4      150.0           66       -210.5
   760     -56.8      152.1           68       -210.5
   770     -57.9      154.2           70       -210.5
   780     -57.9      156.3           72       -210.5
   790     -57.0      158.4           74       -210.0
   800     -57.0      160.5           76       -210.3
   810     -56.0      162.6           78       -210.3
   820     -54.8      164.7           80       -210.0
   830     -50.4      166.8           82       -209.7
   840     -46.8      168.9           84       -209.5
   850     -42.3      171.0           87       -208.9
   860     -37.6      173.1           89       -208.9
   870     -32.0      175.2           91       -208.7
   880     -25.9      177.3           93       -208.7
   890     -18.3      179.4           95       -208.1
   900      -9.6      181.5           97       -207.9
   910       0.0      183.5           99       -207.6
   920       0.0      185.6          101       -207.6
   930       0.0      187.7          103       -208.1
   940       0.0      189.6          105       -194.0
   950       0.0      190.9          106       -132.0
   960       0.0      192.0          108        -87.8
   970      42.0      192.8          108        -75.6
   980      44.5      193.2          109        -36.4
   990     117.7      193.3          109          2.9
  1000     114.7      192.9          108         43.9
  1010      88.5      192.0          108        115.2
  1020      67.7      190.6          106        149.6
  1030      54.6      188.9          104        163.4
  1040      59.9      186.8          102        205.7
  1050      87.5      184.7          100        211.6
  1060     113.2      182.6           98        212.9
  1070     133.2      180.4           96        214.0
  1080     137.1      178.3           94        214.0
  1090     126.9      176.1           92        213.2
  1100     115.9      174.0           90        211.3
  1110     112.1      171.9           87        210.5
  1120     117.6      169.8           85        211.1
  1130     125.8      167.7           83        211.9
  1140     129.5      165.6           81        211.9
  1150     128.0      163.5           79        211.6
  1160     123.8      161.3           77        211.1
  1170     122.6      159.2           75        210.5
  1180     127.1      157.1           73        210.8
  1190     135.5      155.0           71        211.1
  1200     142.7      152.9           68        211.6
  1210     146.3      150.8           66        211.9
  1220     144.8      148.7           64        211.1
  1230     139.8      146.6           62        210.5
  1240     133.8      144.5           60        210.3
  1250     131.0      142.4           58        210.0
  1260     131.8      140.3           56        210.0
  1270     134.4      138.1           54        210.0
  1280     135.3      136.0           52        210.0
  1290     134.9      133.9           49        210.3
  1300     131.8      131.8           47        210.0
  1310     126.7      129.7           45        209.7
  1320     119.3      127.8           43        188.2
  1330     120.8      125.8           41        172.7
  1340     143.9      124.1           40        163.9
  1350     163.5      122.9           38        113.6
  1360     166.4      122.0           38         92.9
