APELLIDO APELLIDO, NOMBRE
5/27/2016 12:18:34 PM
Configurar #2

  TIEMPO    FUERZA ROTACIONAL   POSICIÓN    POS (ANAT)    VELOCIDAD
  mSeg       N-M    Grados      Grados        º/SEG.
     0       0.0      197.0          115          0.0
    10      17.4      197.0          115          1.0
    20      65.0      197.0          115          8.2
    30      52.5      196.8          114         29.5
    40      67.7      196.3          114         54.8
    50      74.6      195.5          113         79.3
    60      61.4      194.3          112        133.9
    70      66.6      192.9          110        165.3
    80      72.8      191.1          109        200.7
    90      78.6      189.1          107        230.8
   100      86.0      186.9          104        211.6
   110      87.7      184.8          102        212.1
   120      85.6      182.7          100        211.1
   130      84.6      180.6           98        211.1
   140      86.5      178.5           96        211.1
   150      92.2      176.4           94        211.9
   160      95.5      174.3           92        211.9
   170      98.2      172.1           90        211.6
   180      98.9      170.0           88        211.6
   190      99.0      167.9           85        211.3
   200      98.3      165.8           83        211.3
   210      99.1      163.7           81        211.1
   220     100.8      161.6           79        211.1
   230     103.1      159.5           77        211.1
   240     104.5      157.3           75        211.1
   250     106.2      155.2           73        211.3
   260     108.2      153.1           71        211.3
   270     110.1      151.0           69        211.3
   280     111.7      148.9           66        211.1
   290     111.3      146.8           64        211.1
   300     110.6      144.7           62        211.1
   310     111.1      142.6           60        210.8
   320     113.6      140.4           58        210.8
   330     114.4      138.3           56        211.1
   340     113.0      136.2           54        210.8
   350     110.9      134.1           52        210.5
   360     109.7      132.0           50        210.5
   370     108.6      129.9           47        210.5
   380     106.6      127.8           45        210.3
   390     103.3      125.7           43        210.0
   400     109.0      123.8           41        196.2
   410     125.8      122.1           40        138.1
   420     133.4      120.9           38        124.3
   430     128.3      120.0           38         83.0
   440     115.8      119.4           37         60.6
   450     102.5      118.9           36         43.6
   460      90.0      118.5           36         30.8
   470      77.2      118.3           36         22.0
   480      60.9      118.1           36         14.9
   490      45.8      118.0           36         10.1
   500      33.2      117.9           35          6.3
   510      25.1      117.9           35          3.9
   520      18.7      117.9           35          2.6
   530     -20.1      117.8           35          1.8
   540      -5.3      117.8           35          0.7
   550     -30.4      117.9           35         -3.4
   560     -48.4      118.1           36        -25.5
   570     -45.2      118.6           36        -71.8
   580     -15.3      119.6           37       -112.0
   590     -14.6      120.8           38       -136.3
   600     -24.8      122.1           40       -141.8
   610     -22.5      123.7           41       -148.8
   620     -27.3      125.5           43       -169.0
   630     -47.9      127.6           45       -208.7
   640     -69.6      129.8           47       -212.4
   650     -80.3      131.9           49       -212.4
   660     -75.0      134.0           52       -212.1
   670     -69.0      136.1           54       -211.1
   680     -70.2      138.2           56       -211.1
   690     -73.4      140.3           58       -211.1
   700     -75.3      142.4           60       -211.3
   710     -76.2      144.6           62       -211.1
   720     -73.4      146.7           64       -210.8
   730     -74.7      148.8           66       -210.8
   740     -79.2      150.9           68       -211.3
   750     -81.5      153.0           71       -211.1
   760     -80.8      155.1           73       -211.1
   770     -78.4      157.2           75       -210.5
   780     -77.6      159.3           77       -210.5
   790     -78.5      161.4           79       -210.8
   800     -77.0      163.5           81       -210.8
   810     -75.1      165.6           83       -210.3
   820     -71.7      167.8           85       -210.3
   830     -70.1      169.9           87       -210.3
   840     -68.2      172.0           90       -210.5
   850     -65.9      174.1           92       -209.7
   860     -61.6      176.2           94       -209.5
   870     -56.5      178.3           96       -209.7
   880     -51.5      180.4           98       -209.7
   890     -46.9      182.5          100       -209.7
   900     -42.4      184.5          102       -209.7
   910     -36.7      186.6          104       -209.5
   920     -31.5      188.7          106       -209.2
   930     -29.3      190.8          108       -218.0
   940     -43.8      192.3          110       -153.8
   950     -48.3      193.6          111       -125.9
   960     -31.9      194.5          112        -85.1
   970     -15.3      195.2          113        -67.3
   980      -5.0      195.7          113        -44.7
   990       0.0      196.0          114        -35.6
  1000       0.0      196.3          114        -23.4
  1010       0.0      196.4          114        -15.1
  1020       0.0      196.6          114        -11.7
  1030      45.0      196.7          114         -5.3
  1040      65.5      196.5          114         22.0
  1050      95.6      196.1          114         56.4
  1060      79.1      195.3          113         94.2
  1070      56.3      194.1          112        118.2
  1080      65.1      192.5          110        174.3
  1090      81.8      190.7          108        207.9
  1100      89.2      188.6          106        233.4
  1110      92.5      186.4          104        212.1
  1120      87.5      184.3          102        211.6
  1130      87.5      182.2          100        211.1
  1140      88.4      180.1           98        211.3
  1150      89.9      178.0           96        211.6
  1160      92.8      175.9           93        211.9
  1170      93.4      173.8           91        211.3
  1180      94.1      171.6           89        211.3
  1190      95.2      169.5           87        211.3
  1200      97.0      167.4           85        211.3
  1210      98.2      165.3           83        211.3
  1220      99.8      163.2           81        211.1
  1230     101.7      161.1           79        211.3
  1240     103.9      159.0           77        211.1
  1250     106.9      156.8           74        211.1
  1260     108.5      154.7           72        211.1
  1270     108.3      152.6           70        211.3
  1280     108.3      150.5           68        211.1
  1290     110.5      148.4           66        210.8
  1300     114.9      146.3           64        211.3
  1310     117.4      144.2           62        211.1
  1320     120.0      142.1           60        211.3
  1330     121.9      139.9           57        211.6
  1340     121.8      137.8           55        211.1
  1350     121.0      135.7           53        211.1
  1360     119.5      133.6           51        211.1
  1370     118.1      131.5           49        210.8
  1380     116.9      129.4           47        210.5
  1390     114.9      127.3           45        210.3
  1400     110.9      125.2           43        206.8
  1410     118.4      123.3           41        186.8
  1420     133.8      121.8           39        127.5
  1430     137.4      120.7           38        105.9
  1440     124.3      119.8           37         69.7
  1450     104.1      119.2           37         55.6
  1460      84.6      118.8           36         39.4
  1470      65.6      118.5           36         27.6
  1480      44.1      118.3           36         20.7
  1490      30.4      118.1           36         11.1
  1500      18.7      118.0           36          8.5
  1510      18.7      118.0           36          5.3
  1520     -25.1      117.9           35          3.9
  1530     -76.3      118.0           36        -10.9
  1540    -107.4      118.4           36        -60.4
  1550     -30.2      119.4           37       -129.1
  1560       0.0      120.8           38       -152.8
  1570       0.0      122.5           40       -173.5
  1580     -10.7      124.0           42       -148.5
  1590     -46.2      125.9           43       -181.8
  1600     -81.9      127.9           45       -210.5
