APELLIDO APELLIDO, NOMBRE
5/27/2016 12:18:34 PM
Configurar #3

  TIEMPO    FUERZA ROTACIONAL   POSICIÓN    POS (ANAT)    VELOCIDAD
  mSeg       N-M    Grados      Grados        º/SEG.
     0       0.0      197.0          115         -0.2
    10       1.6      197.0          115          0.2
    20      23.5      197.0          115          1.3
    30      60.7      196.9          114         13.5
    40      68.1      196.7          114         36.2
    50      74.6      196.1          114         64.9
    60      70.9      195.2          113         90.5
    70      61.7      193.9          111        146.9
    80      69.2      192.3          110        177.3
    90      76.2      190.4          108        214.5
   100      82.6      188.3          106        232.6
   110      87.1      186.2          104        211.9
   120      86.2      184.1          102        211.3
   130      86.5      182.0          100        211.1
   140      86.9      179.9           97        211.3
   150      89.9      177.8           95        211.9
   160      94.6      175.6           93        211.9
   170      97.9      173.5           91        211.9
   180     100.6      171.4           89        211.9
   190     100.6      169.3           87        211.6
   200      98.7      167.2           85        211.1
   210      96.0      165.1           83        210.8
   220      97.2      162.9           80        210.8
   230     100.2      160.8           78        211.3
   240     103.9      158.7           76        211.3
   250     107.7      156.6           74        211.1
   260     110.2      154.5           72        211.1
   270     113.9      152.4           70        211.3
   280     115.9      150.3           68        211.6
   290     116.8      148.2           66        211.1
   300     117.0      146.0           64        211.1
   310     118.0      143.9           61        211.1
   320     119.5      141.8           59        211.3
   330     121.1      139.7           57        211.3
   340     122.9      137.6           55        211.1
   350     124.1      135.5           53        211.1
   360     124.9      133.4           51        211.1
   370     124.3      131.3           49        211.3
   380     121.8      129.1           47        210.8
   390     118.8      127.0           45        210.3
   400     115.8      125.0           43        189.0
   410     127.3      123.1           41        163.1
   420     141.3      121.6           39        137.9
   430     147.0      120.5           38         91.8
   440     135.9      119.7           37         74.2
   450     116.2      119.1           37         53.5
   460      98.9      118.7           36         33.8
   470      85.3      118.4           36         26.8
   480      67.8      118.2           36         18.3
   490      48.4      118.1           36         11.9
   500      33.2      118.0           36          6.9
   510      21.7      117.9           35          4.7
   520      18.7      117.9           35          2.6
   530     -21.3      117.9           35          1.8
   540     -42.2      117.9           35         -2.3
   550     -68.1      118.1           36        -37.2
   560     -62.5      118.9           36        -95.0
   570      -7.7      120.1           38       -146.1
   580       0.0      121.6           39       -167.1
   590      -3.3      123.2           41       -177.8
   600     -25.8      124.9           42       -191.4
   610     -60.7      126.8           44       -218.0
   620     -90.4      129.0           47       -214.0
   630     -86.2      131.1           49       -212.9
   640     -68.2      133.2           51       -211.3
   650     -61.6      135.3           53       -210.5
   660     -65.6      137.4           55       -210.5
   670     -76.5      139.5           57       -210.8
   680     -78.0      141.6           59       -211.3
   690     -73.5      143.8           61       -210.8
   700     -73.4      145.9           63       -210.5
   710     -78.0      148.0           66       -211.1
   720     -81.4      150.1           68       -211.1
   730     -79.7      152.2           70       -211.1
   740     -76.3      154.3           72       -210.5
   750     -74.9      156.4           74       -210.0
   760     -75.8      158.5           76       -210.3
   770     -78.4      160.6           78       -210.8
   780     -78.0      162.7           80       -210.8
   790     -74.7      164.8           82       -210.3
   800     -70.1      166.9           84       -210.0
   810     -67.1      169.0           87       -210.0
   820     -65.9      171.1           89       -210.3
   830     -64.1      173.2           91       -209.7
   840     -60.3      175.3           93       -209.7
   850     -53.7      177.4           95       -209.5
   860     -46.2      179.5           97       -209.5
